Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern,Total
2022,Maldives,MDV,United Kingdom of Great Britain and Northern Ireland,GBR,43,7,0,0,0,0,0,50
2022,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,4159,2222,0,0,0,0,0,6381
2022,Saint Vincent and the Grenadines,VCT,United Kingdom of Great Britain and Northern Ireland,GBR,39,59,0,0,0,0,0,98
2022,Mali,MLI,United Kingdom of Great Britain and Northern Ireland,GBR,38,75,0,0,0,0,0,113
2022,Botswana,BWA,United Kingdom of Great Britain and Northern Ireland,GBR,37,250,0,0,0,0,0,287
2022,Kyrgyzstan,KGZ,United Kingdom of Great Britain and Northern Ireland,GBR,36,142,0,0,0,0,0,178
2022,Dem. People's Rep. of Korea,PRK,United Kingdom of Great Britain and Northern Ireland,GBR,35,14,0,0,0,0,0,49
2022,Sierra Leone,SLE,United Kingdom of Great Britain and Northern Ireland,GBR,348,338,0,0,0,0,0,686
2022,Ghana,GHA,United Kingdom of Great Britain and Northern Ireland,GBR,338,470,0,0,0,0,0,808
2022,Viet Nam,VNM,United Kingdom of Great Britain and Northern Ireland,GBR,3378,3689,0,0,0,0,0,7067
2022,Kenya,KEN,United Kingdom of Great Britain and Northern Ireland,GBR,337,390,0,0,0,0,0,727
2022,Malaysia,MYS,United Kingdom of Great Britain and Northern Ireland,GBR,336,603,0,0,0,0,0,939
2022,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,GBR,33,213,0,0,0,0,0,246
2022,Saudi Arabia,SAU,United Kingdom of Great Britain and Northern Ireland,GBR,324,345,0,0,0,0,0,669
2022,Myanmar,MMR,United Kingdom of Great Britain and Northern Ireland,GBR,319,210,0,0,0,0,0,529
2022,Stateless,XXA,United Kingdom of Great Britain and Northern Ireland,GBR,3183,1894,0,0,5351,0,319,10747
2022,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR,3181,3391,0,0,0,0,0,6572
2022,Türkiye,TUR,United Kingdom of Great Britain and Northern Ireland,GBR,3114,3145,0,0,0,0,0,6259
2022,Algeria,DZA,United Kingdom of Great Britain and Northern Ireland,GBR,305,786,0,0,0,0,0,1091
2022,Saint Lucia,LCA,United Kingdom of Great Britain and Northern Ireland,GBR,30,64,0,0,0,0,0,94
2022,"China, Hong Kong SAR",HKG,United Kingdom of Great Britain and Northern Ireland,GBR,27,143,0,0,0,0,0,170
2022,Morocco,MAR,United Kingdom of Great Britain and Northern Ireland,GBR,261,459,0,0,0,0,0,720
2022,Liberia,LBR,United Kingdom of Great Britain and Northern Ireland,GBR,26,32,0,0,0,0,0,58
